County,People Below Poverty Line
Adams County,4951
Asotin County,2795
Benton County,22932
Chelan County,11052
Clallam County,7732
Columbia County,446
Clark County,44734
Cowlitz County,13295
Douglas County,4849
Ferry County,1292
Franklin County,15020
Garfield County,227
Grant County,14285
Grays Harbor County,7023
Island County,5412
Jefferson County,3945
King County,168639
Kitsap County,18090
Kittitas County,7808
Klickitat County,3371
Lewis County,9199
Lincoln County,1307
Mason County,8386
Okanogan County,8042
Pacific County,3421
Pend Oreille County,1673
Pierce County,81121
San Juan County,1691
Skagit County,14978
Skamania County,1492
Snohomish County,55319
Spokane County,66260
Stevens County,6280
Thurston County,26414
Wahkiakum County,309
Walla Walla County,7329
Whatcom County,28926
Whitman County,11219
Yakima County,41667
