county,white,black,native american,asian,pacific islander,hispanic/latino
Adams County,6626,203,796,154,41,12458
Asotin County,20262,116,256,192,51,900
Benton County,139090,3198,1526,5069,141,42849
Chelan County,51816,492,651,615,31,21297
Clallam County,62409,825,3701,1284,21,4781
Clark County,371450,8409,2764,21752,3751,45528
Columbia County,3409,36,7,72,42,311
Cowlitz County,89301,847,1625,1365,217,9583
Douglas County,26961,203,300,305,112,13281
Ferry County,5548,11,994,53,20,359
Franklin County,37140,2068,1163,2016,195,48843
Garfield County,1995,0,0,71,0,42
Grant County,51547,810,1146,946,36,39700
Grays Harbor County,57795,859,3075,1096,200,7246
Island County,65595,2603,840,4046,316,6413
Jefferson County,27651,178,625,516,57,1147
King County,1308660,141790,13057,386404,16944,212241
Kitsap County,203899,7129,2596,12876,2174,20652
Kittitas County,38591,443,285,729,401,4045
Klickitat County,17847,160,548,155,2,2605
Lewis County,65164,414,508,1024,174,8000
Lincoln County,9657,83,162,69,27,357
Mason County,51382,800,1591,752,277,6365
Okanogan County,27152,186,4019,358,106,8413
Pacific County,17754,76,549,365,86,2122
Pend Oreille County,11832,49,523,130,3,515
Pierce County,585478,59213,11170,55571,12848,95327
San Juan County,14848,149,163,219,39,1082
Skagit County,93444,1110,2356,2388,311,23097
Skamania County,10307,58,213,131,14,745
Snohomish County,555736,24369,7353,86121,4197,81495
Spokane County,427467,8444,6817,11553,2799,28970
Stevens County,38672,192,2225,290,55,1658
Thurston County,209670,8826,3810,15832,2265,25004
Wahkiakum County,3702,54,31,79,1,294
Walla Walla County,43265,1074,393,999,99,12874
Whatcom County,174278,2204,6437,9120,668,20805
Whitman County,38688,1084,170,4169,81,3106
Yakima County,107857,2918,10004,2447,288,123069
